@.appl,/.APPL
@.char.size,/.CHR.SZ
@.copy,/copy
@.country,/.CNTRY
@.db,/.DB
@.device,/.DEV
@.dir,/.DIR
@.ds.pl,IF{/.DIGIT.SEP.NAME.PL;"commas"}
@.exit.nks,/exit.nks
@.exit.nub,/exit.nub
@.facility,/.FAC
@.field.edit,/FIELD.EDIT
@.gui,/.GUI
@.itn,itn
@.job,/.JOB
@.job.id,/.JOB.ID
@.line,IF{/.LL-1^/.LL<1 %[/R.NEW.PAGE.PGM](0)}
@.lines.left,/.LL
@.logical.device,/.LOC
@.lookup,/.LK
@.menu.arg,/.MENU.ARG|0
@.menu.tm,/.MENU.TM
@.mis,/.MIS
@.mm.data,/.mm.data
@.mm.enabled,/.mm&(/.INST.BUF_.=.)
@.mouse,/G.MSE
@.mouse.argc,/.mouse.argc
@.mouse.col,/G.MSEC
@.mouse.dbl,/G.MSEDB
@.mouse.itn,/G.MSEI
@.mouse.last,/G.MSEL
@.mouse.row,/G.MSER
@.mri.pfx,/.MPX
@.new,B
@.new.ext,A
@.new.page.pgm,/R.NEW.PAGE.PGM
@.no.exit.prompt,/.NO.EXIT.PROMPT
@.no.page.num,/no.page.num
@.no.page.save,/no.page.save
@.no.self.release,/no.selfr
@.no.tbar,/no.tbar
@.now,%Z.time.out(S(0)+/.TZO)
@.nref,/nref
@.old,D
@.old.ext,C
@.on.device,/.PRT
@.pc,/.PC
@.rc.enabled,/.RIGHT.CLICK.ENABLED
@.rc.val,/.rc.val
@.response,/S.A
@.response.old,/S.C
@.rich.text.editor,/.RTF
@.row.offset,/.P
@.scrn.page.num,/scrn.page.num
@.scrn.tm,/.SCRN.TM
@.sd,(S(0)+/.TZO)
@.signon.tm,/.SIGNON.TM
@.sn,S(0)
@.system.base.year,/.SBY
@.time.zone.offset,/.TZO
@.today,/.DAT
@.update.today,IF{""^/.DAT;%Z.date.in("T")^/.DAT}
@.urn,urn
@.use.disk.temp,/use.disk.temp
@.user,/.USR
@AT.bitmap,8
@AT.data,8
@AT.detach,8
@AT.image,8
@AT.key,8
@AT.notes,8
@AT.results,8
@AT.start,8
@Abs,1
@Add,1
@Batch.command.read,6
@Batch.command.read.init,6
@Bell,5
@Blank.all,5
@Blank.window,5
@Buffered.output,4
@Button.create,6
@Button.desktop,6
@Button.desktop.array,6
@Button.desktop.inst,6
@Button.disable,6
@Button.enable,6
@Button.expunge,6
@Button.flyover,6
@Button.focus,6
@Button.get.state,6
@Button.high.txt,6
@Button.hilite,6
@Button.justify,6
@Button.justify.get,6
@Button.query,6
@Button.set.state,6
@Button.tooltip,6
@Button.unhilite,6
@Change.color.palette,5
@Change.color.palette.perm,5
@Change.pc.dir,7
@Char.size,7
@Check.lines.left,1
@Chg.prefix,4
@Clear.slash,4
@Clear.slash2,4
@Clipboard.close,6
@Clipboard.open,6
@Clr.buf,1
@Com.get.read,8
@Com.port.close,8
@Com.port.in.buff,8
@Com.port.open,8
@Com.port.read,8
@Com.port.read.delim,8
@Com.port.write,8
@Com.set.read,8
@Copy,1
@Copy.txn,1
@Critical.write.off,1
@Critical.write.on,1
@Curr.scrn.title,6
@Cursor.off,5
@Cursor.on,5
@Cursor.size,5
@Def.buf,1
@Display,2
@Display.erase,2
@Dos.close.read,6
@Dos.close.read.inst,6
@Dos.close.write,6
@Dos.close.write.inst,6
@Dos.connect,6
@Dos.copy,7
@Dos.create,6
@Dos.create.folder,6
@Dos.create.folder.inst,6
@Dos.create.inst,6
@Dos.create.path,6
@Dos.create.path.inst,6
@Dos.delete,6
@Dos.delete.inst,6
@Dos.destroy,6
@Dos.encrypt.pfx,6
@Dos.encrypted.read,6
@Dos.encrypted.write,6
@Dos.execute,6
@Dos.execute.new,6
@Dos.file.find,6
@Dos.move,6
@Dos.open.read,6
@Dos.open.read.inst,6
@Dos.open.write,6
@Dos.open.write.inst,6
@Dos.read,6
@Dos.read.checksum,6
@Dos.read.cr,6
@Dos.read.cr.inst,6
@Dos.read.inst,6
@Dos.read.more,6
@Dos.read.more.inst,6
@Dos.read.streaming,6
@Dos.rename,6
@Dos.timestamp,6
@Dos.timestamp.file,6
@Dos.timestamp.file.inst,6
@Dos.timestamp.inst,6
@Dos.write,6
@Dos.write.checksum,6
@Dos.write.inst,6
@Dos.ws.header,6
@Dos.ws.path,6
@Dos.ws.path.inst,6
@Dos.ws.session.hdr,6
@Dos.ws.version,6
@Draw.box,5
@Draw.horiz.line,5
@Draw.icon,5
@Draw.spec.icon,7
@Erase.attr,5
@Erase.field,5
@Erase.region,5
@Erase.window,5
@Est.buf,1
@File.txn.log,1
@First,0
@Get.delimiter,8
@Get.pc.dir,6
@Get.txn.log,1
@Graph.begin,6
@Graph.create,6
@Graph.delete,6
@Graph.end,6
@Graph.init,6
@Graph.msg.param,6
@Graph.msg.str,6
@Graph.set,6
@Graph.stripe,6
@Graph.val,6
@Graph.xval,6
@Hang,1
@Html,7
@Inst.buf.off,6
@Inst.buf.on,6
@Invert.field,5
@Key.code.state,8
@Kill,1
@Last,0
@Link,3
@Link.C,3
@Load.char,5
@Lock,3
@Lock.key,6
@Lock.process,3
@Locked,3
@Log.patient.event,6
@Log.patient.event.bch.add,6
@Log.patient.event.bch.write,6
@MSO.authenticate,8
@MSO.challenge,8
@MSO.enumerate,8
@MSO.error,8
@MSO.identity,8
@MSO.identity.challenged,8
@MSO.query,8
@MSO.security.package.get,8
@MSO.security.package.set,8
@MSO.setup,8
@Macro,4
@Make.long,6
@Mark.font.ptr,5
@Max,1
@Memory.allocate,8
@Memory.allocation.check,8
@Memory.beginning,8
@Memory.compare,8
@Memory.cursor,8
@Memory.cursor.set,8
@Memory.end,8
@Memory.exterminate,8
@Memory.free,8
@Memory.insert,8
@Memory.line.read,8
@Memory.more,8
@Memory.read,8
@Memory.read.field,8
@Memory.search,8
@Memory.text.read,8
@Memory.transfer.in,8
@Memory.transfer.out,8
@Memory.write,8
@Menu.activate,6
@Menu.activate.inst,6
@Menu.create,6
@Menu.create.inst,6
@Menu.expunge,6
@Min,1
@Mouse.col,7
@Mouse.off,7
@Mouse.on,7
@Mouse.pointer,7
@Mouse.row,7
@Move,1
@Next,0
@Next.get,0
@Not,1
@Pgm.name,7
@Picture.dimensions,7
@Picture.expunge,7
@Picture.file,7
@Picture.make,7
@Picture.make.transparent,7
@Picture.rotate,7
@Picture.show,7
@Picture.size,7
@Picture.twain,7
@Pixel.clear,5
@Pixel.line,5
@Pixel.set,5
@Pos,2
@Prev,0
@Prev.get,0
@Prev.scrn.title,6
@Quote,3
@Read.font,6
@Read.page,5
@Res.prefix,4
@Restore.font.ptr,5
@Restore.window,5
@Right.click.disable,8
@Right.click.enable,8
@Root,0
@Rt.Button.query,6
@Scroll.attr.down,5
@Scroll.attr.left,5
@Scroll.attr.right,5
@Scroll.attr.up,5
@Scroll.both.down,5
@Scroll.both.left,5
@Scroll.both.right,5
@Scroll.both.up,5
@Scroll.down,5
@Scroll.left,5
@Scroll.right,5
@Scroll.up,5
@Set.attr,5
@Set.font,6
@Set.font.all,6
@Set.low.res.char,5
@Set.timestamp,6
@Set.view,5
@Sound,5
@Stack.offset,6
@Stream.file.inst,8
@Stream.memory.inst,8
@Sub,1
@Sub0,1
@Tbar.add,7
@Tbar.desktop,7
@Tbar.disable,7
@Tbar.enable,7
@Tbar.expunge,7
@Tbar.expunge.all,7
@Tbar.insert,7
@Tbar.menu,7
@Tbar.screen,7
@Tbar.seperator,7
@Tbar.tip,7
@Title,2
@Translation.message,1
@Unblank.all,5
@Unblank.window,5
@Undef.buf,1
@Unlock,3
@Unlock.process,3
@Unstack.offset,6
@W.choice,2
